date,price
2018-07-05,463.05
2018-07-06,468.09
2018-07-07,464.89
2018-07-08,486.2
2018-07-09,474.4
2018-07-10,440.13
2018-07-11,436.74
2018-07-12,427.09
2018-07-13,429.96
2018-07-14,436.06
2018-07-15,452.52
2018-07-16,475.58
2018-07-17,500.09
2018-07-18,473.44
2018-07-19,467.28
2018-07-20,444.16
2018-07-21,465.14
2018-07-22,464.02
2018-07-23,447.77
2018-07-24,472.08
2018-07-25,475.34
2018-07-26,472.27
2018-07-27,466.36
2018-07-28,463.26
2018-07-29,465.89
2018-07-30,453.63
2018-07-31,432.27
2018-08-01,409.5
2018-08-02,409.97
2018-08-03,415.16
2018-08-04,404.2
2018-08-05,410.43
2018-08-06,403.48
2018-08-07,384.5
2018-08-08,357.8
2018-08-09,363.09
2018-08-10,343.0
2018-08-11,324.25
2018-08-12,319.9
2018-08-13,288.11
2018-08-14,259.0
2018-08-15,287.33
2018-08-16,283.0
2018-08-17,300.2
2018-08-18,288.81
2018-08-19,302.0
2018-08-20,285.71
2018-08-21,277.09
2018-08-22,268.01
2018-08-23,273.2
2018-08-24,279.78
2018-08-25,279.02
2018-08-26,272.37
2018-08-27,276.8
2018-08-28,294.11
2018-08-29,290.01
2018-08-30,284.8
2018-08-31,283.09
2018-09-01,297.8
2018-09-02,293.72
2018-09-03,290.22
2018-09-04,285.04
2018-09-05,245.12
2018-09-06,224.54
2018-09-07,217.66
2018-09-08,192.14
2018-09-09,201.49
2018-09-10,196.36
2018-09-11,181.75
2018-09-12,181.95
2018-09-13,205.53
2018-09-14,218.46
2018-09-15,223.54
2018-09-16,221.62
2018-09-17,194.48
2018-09-18,207.72
2018-09-19,210.96
2018-09-20,208.58
2018-09-21,242.73
2018-09-22,241.31
2018-09-23,241.34
2018-09-24,234.5
2018-09-25,213.9
2018-09-26,219.13
2018-09-27,228.37
2018-09-28,220.13
2018-09-29,230.27
2018-09-30,228.39
2018-10-01,228.78
2018-10-02,225.1
2018-10-03,216.67
2018-10-04,221.8
2018-10-05,221.84
2018-10-06,224.02
2018-10-07,223.16
2018-10-08,229.18
2018-10-09,226.37
2018-10-10,223.58
2018-10-11,197.54
2018-10-12,195.08
2018-10-13,196.53
2018-10-14,194.92
2018-10-15,201.41
2018-10-16,203.96
2018-10-17,202.96
2018-10-18,198.72
2018-10-19,199.7
2018-10-20,202.39
2018-10-21,202.88
2018-10-22,201.54
2018-10-23,201.26
2018-10-24,201.36
2018-10-25,199.86
2018-10-26,200.48
2018-10-27,201.26
2018-10-28,201.95
2018-10-29,193.22
2018-10-30,194.7
2018-10-31,196.45
2018-11-01,197.24
2018-11-02,200.14
2018-11-03,199.64
2018-11-04,210.48
2018-11-05,206.81
2018-11-06,215.88
2018-11-07,217.0
2018-11-08,212.62
2018-11-09,207.86
2018-11-10,211.87
2018-11-11,207.92
2018-11-12,207.98
2018-11-13,203.52
2018-11-14,175.99
2018-11-15,175.05
2018-11-16,170.96
2018-11-17,172.07
2018-11-18,174.15
2018-11-19,147.5
2018-11-20,131.25
2018-11-21,132.05
2018-11-22,128.76
2018-11-23,120.11
2018-11-24,111.0
2018-11-25,115.91
2018-11-26,104.23
2018-11-27,108.71
2018-11-28,120.83
2018-11-29,115.12
2018-11-30,111.37
2018-12-01,116.64
2018-12-02,116.39
2018-12-03,108.4
2018-12-04,108.93
2018-12-05,101.65
2018-12-06,94.97
2018-12-07,93.09
2018-12-08,85.51
2018-12-09,93.12
2018-12-10,89.12
2018-12-11,87.89
2018-12-12,89.93
2018-12-13,84.31
2018-12-14,81.72
2018-12-15,83.44
2018-12-16,83.84
2018-12-17,94.0
2018-12-18,93.81
2018-12-19,98.82
2018-12-20,113.75
2018-12-21,107.91
2018-12-22,113.9
2018-12-23,129.86
2018-12-24,142.0
2018-12-25,130.49
2018-12-26,128.42
2018-12-27,115.68
2018-12-28,134.63
2018-12-29,143.3
2018-12-30,137.85
2018-12-31,129.99
2019-01-01,137.71
2019-01-02,154.55
2019-01-03,147.88
2019-01-04,153.98
2019-01-05,156.9
2019-01-06,155.77
2019-01-07,150.35
2019-01-08,148.78
2019-01-09,149.55
2019-01-10,127.34
2019-01-11,125.25
